,index,Country or Area,Year,Commodity,Trade (USD),Weight (kg),Quantity
8542,90774,Hungary,2015,"Bovine cuts bone in, fresh or chilled",18521756.0,6630146.0,6630146.0
8543,90776,Hungary,2015,"Bovine cuts boneless, fresh or chilled",1867784.0,480751.0,480751.0
8544,90778,Hungary,2015,"Bovine cuts bone in, frozen",513038.0,91988.0,91988.0
8545,90780,Hungary,2015,"Bovine cuts boneless, frozen",3641150.0,1124683.0,1124683.0
8546,90808,Hungary,2015,"Bovine edible offal, fresh or chilled",622701.0,4514930.0,4514930.0
8547,90810,Hungary,2015,"Bovine tongues, frozen",47.0,13.0,13.0
8548,90812,Hungary,2015,"Bovine livers, frozen",1127377.0,1445885.0,1445885.0
8549,90814,Hungary,2015,"Bovine edible offal, frozen except livers and tongues",1776580.0,8058373.0,8058373.0
8550,90855,Hungary,2015,"Bovine meat salted, dried or smoked",22673.0,3732.0,3732.0
8551,90859,Hungary,2014,"Bovine carcasses and half carcasses, fresh or chilled",11163117.0,3849737.0,3849737.0
8552,90861,Hungary,2014,"Bovine cuts bone in, fresh or chilled",19289757.0,5930201.0,5930201.0
8553,90863,Hungary,2014,"Bovine cuts boneless, fresh or chilled",594146.0,76799.0,76799.0
8554,90864,Hungary,2014,"Bovine carcasses and half carcasses, frozen",180.0,51.0,51.0
8555,90866,Hungary,2014,"Bovine cuts bone in, frozen",194434.0,36483.0,36483.0
8556,90868,Hungary,2014,"Bovine cuts boneless, frozen",6644502.0,1703127.0,1703127.0
8557,90899,Hungary,2014,"Bovine edible offal, fresh or chilled",684229.0,3270690.0,3270690.0
8558,90901,Hungary,2014,"Bovine tongues, frozen",88859.0,16637.0,16637.0
8559,90903,Hungary,2014,"Bovine livers, frozen",1912737.0,1745342.0,1745342.0
8560,90905,Hungary,2014,"Bovine edible offal, frozen except livers and tongues",1372326.0,3247205.0,3247205.0
8561,90946,Hungary,2014,"Bovine meat salted, dried or smoked",2452.0,213.0,213.0
8562,90950,Hungary,2013,"Bovine carcasses and half carcasses, fresh or chilled",15174038.0,4582156.0,4582156.0
8563,90952,Hungary,2013,"Bovine cuts bone in, fresh or chilled",30121315.0,8188822.0,8188822.0
8564,90954,Hungary,2013,"Bovine cuts boneless, fresh or chilled",1205520.0,243446.0,243446.0
